title,artist
the twist,chubby checker
smooth,santana feat. rob thomas
mack the knife,bobby darin
uptown funk!,mark ronson feat. bruno mars
how do i live,leann rimes
party rock anthem,lmfao feat. lauren bennett & goonrock
i gotta feeling,the black eyed peas
macarena (bayside boys mix),los del rio
shape of you,ed sheeran
physical,olivia newton-john
you light up my life,debby boone
hey jude,the beatles
closer,the chainsmokers feat. halsey
we belong together,mariah carey
un-break my heart,toni braxton
yeah!,usher feat. lil jon & ludacris
bette davis eyes,kim carnes
endless love,diana ross & lionel richie
tonight’s the night (gonna be alright),rod stewart
you were meant for me/foolish games,jewel
(everything i do) i do it for you,bryan adams
i’ll make love to you,boyz ii men
the theme from “a summer place”,percy faith & his orchestra
le freak,chic
how deep is your love,bee gees
eye of the tiger,survivor
we found love,rihanna feat. calvin harris
low,flo rida feat. t-pain
just want to be your everything,andy gibb
too close,next
every breath you take,the police
somebody that i used to know,gotye feat. kimbra
despacito,luis fonsi & daddy yankee feat. justin bieber
flashdance… what a feeling,irene cara
rolling in the deep,adele
tossin’ and turnin’,bobby lewis
the battle of new orleans,johnny horton
one sweet day,mariah carey & boyz ii men
truly madly deeply,savage garden
silly love songs,wings
let’s get it on,marvin gaye
night fever,bee gees
another one bites the dust,queen
say say say,paul mccartney & michael jackson
how you remind me,nickelback
tie a yellow ribbon round the ole oak tree,dawn feat. tony orlando
it's all in the game,tommy edwards
i want to hold your hand,the beatles
shadow dancing,andy gibb
call me maybe,carly rae jepsen
blurred lines,robin thicke feat. t.i. + pharrell
candle in the wind ‘97/something about the way you look tonight,elton john
no one,alicia keys
i will always love you,whitney houston
end of the road,boyz ii men
boom boom pow,the black eyed peas
call me,blondie
let me love you,mario
stayin’ alive,bee gees
lady,kenny rogers
tik tok,kesha
i’m a believer,the monkees
gold digger,kanye west feat. jamie foxx
apologize,timbaland feat. onerepublic
the sign,ace of base
centerfold,the j. geils band
all about that bass,meghan trainor
(just like) starting over,john lennon
royals,lorde
the boy is mine,brandy & monica
because i love you (the postman song),stevie b
i love rock ’n rolln,joan jett & the blackhearts
aquarius/let the sunshine in,the 5th dimension
whoomp! (there it is),tag team
moves like jagger,maroon 5 feat. christina aguilera
ebony and ivory,paul mccartney & stevie wonder
rush rush,paula abdul
that’s what friends are for,"dionne & friends (stevie wonder, gladys knight & elton john)"
happy,pharrell williams
upside down,diana ross
"sugar, sugar",the archies
just the way you are,bruno mars
dilemma,nelly feat. kelly rowland
i heard it through the grapevine,marvin gaye
you’re still the one,shania twain
billie jean,michael jackson
hot stuff,donna summer
rockstar,post malone feat. 21 savage
gangsta’s paradise,coolio feat. l.v.
abracadabra,the steve miller band
perfect,ed sheeran
you’re so vain,carly simon
play that funky music,wild cherry
"say you, say me",lionel richie
my sharona,the knack
all night long (all night),lionel richie
nothing compares 2 u,sinead o’connor
i swear,all-4-one
family affair,mary j. blige
waiting for a girl like you,foreigner
