artist,title
bob dylan,like a rolling stone
the beatles,strawberry fields forever (original stereo studio mix)
the rolling stones,"(i can’t get no) satisfaction (live: royal albert hall, london, uk, mono)"
john lennon,imagine (original studio mix)
marvin gaye,what’s going on (original lp version)
aretha franklin,respect
the beach boys,good vibrations (mono)
chuck berry,"johnny b. goode (original release, take 3, without overdub)"
the beatles,hey jude (original stereo studio mix)
nirvana,smells like teen spirit
ray charles,what’d i say
the who,my generation
sam cooke,a change is gonna come
the beatles,yesterday
bob dylan,blowin' in the wind
the clash,london calling (original studio mix)
the beatles,i want to hold your hand
the jimi hendrix experience,purple haze (original stereo studio mix)
chuck berry,maybellene
elvis presley,hound dog
the beatles,let it be (original studio album mix)
bruce springsteen,born to run (version 5a)
the ronettes,be my baby
the beatles,in my life (original stereo studio mix)
the impressions,people get ready
the beach boys,god only knows (stereo)
otis redding,(sittin’ on) the dock of the bay
derek and the dominos,layla (original studio mix)
the beatles,a day in the life (original stereo studio mix)
the beatles,help!
johnny cash,i walk the line
led zeppelin,stairway to heaven
the rolling stones,sympathy for the devil (original studio mix)
ike & tina turner,river deep—mountain high
the righteous brothers,you've lost that lovin' feelin' (single version)
the doors,light my fire (original stereo studio mix)
u2,one
bob marley & the wailers,no woman no cry
the rolling stones,gimme shelter (original studio mix)
buddy holly,that'll be the day
martha and the vandellas,dancing in the street (single version)
the band,the weight
the kinks,"waterloo sunset (mono mix, album version)"
little richard,tutti frutti
ray charles,georgia on my mind
elvis presley,heartbreak hotel
david bowie,“heroes”
simon & garfunkel,bridge over troubled water (original stereo mix)
the jimi hendrix experience,all along the watchtower
eagles,hotel california
smokey robinson & the miracles,the tracks of my tears (mono single version)
grandmaster flash & the furious five feat. melle mel & duke bootee,the message (original version)
prince,when doves cry (single edit)
sex pistols,anarchy in the uk
percy sledge,when a man loves a woman (stereo)
the kingsmen,louie louie
little richard,long tall sally
procol harum,a whiter shade of pale (mono)
michael jackson,billie jean (album / single version)
bob dylan,the times they are a-changin'
al green,let's stay together
jerry lee lewis,whole lotta shakin' going on
bo diddley,bo diddley (single version)
buffalo springfield,for what it’s worth
the beatles,she loves you
cream,sunshine of your love (original stereo studio mix)
bob marley & the wailers,redemption song
elvis presley,jailhouse rock
bob dylan,tangled up in blue
roy orbison,crying (stereo)
dionne warwick,walk on by
the beach boys,california girls (stereo)
james brown,papa’s got a brand new bag (part 1)
eddie cochran,summertime blues
stevie wonder,superstition (album version)
led zeppelin,whole lotta love (original studio mix)
elvis presley,mystery train
james brown,i got you (i feel good)
the byrds,mr. tambourine man
marvin gaye,i heard it through the grapevine
fats domino,"blueberry hill (imperial, edited)"
the kinks,you really got me (mono mix)
the beatles,norwegian wood (this bird has flown) (original mono studio mix)
the police,every breath you take
patsy cline,crazy
bruce springsteen,thunder road (version 7)
johnny cash,ring of fire
the temptations,my girl
the mamas & the papas,california dreamin’ (single version)
the five satins,in the still of the night
elvis presley,suspicious minds
ramones,blitzkrieg bop
u2,i still haven’t found what i’m looking for
little richard,"good golly miss molly (live, 1967-01-25: cbs studio, hollywood, usa; stereo)"
carl perkins,blue suede shoes
jerry lee lewis,great balls of fire (master)
chuck berry,"roll over, beethoven"
al green,love and happiness
creedence clearwater revival,fortunate son
the rolling stones,you can't always get what you want
bob dylan,like a rolling stone
the beatles,strawberry fields forever (original stereo studio mix)
the rolling stones,"(i can’t get no) satisfaction (live: royal albert hall, london, uk, mono)"
john lennon,imagine (original studio mix)
marvin gaye,what’s going on (original lp version)
aretha franklin,respect
the beach boys,good vibrations (mono)
chuck berry,"johnny b. goode (original release, take 3, without overdub)"
the beatles,hey jude (original stereo studio mix)
nirvana,smells like teen spirit
ray charles,what’d i say
the who,my generation
sam cooke,a change is gonna come
the beatles,yesterday
bob dylan,blowin' in the wind
the clash,london calling (original studio mix)
the beatles,i want to hold your hand
the jimi hendrix experience,purple haze (original stereo studio mix)
chuck berry,maybellene
elvis presley,hound dog
the beatles,let it be (original studio album mix)
bruce springsteen,born to run (version 5a)
the ronettes,be my baby
the beatles,in my life (original stereo studio mix)
the impressions,people get ready
the beach boys,god only knows (stereo)
otis redding,(sittin’ on) the dock of the bay
derek and the dominos,layla (original studio mix)
the beatles,a day in the life (original stereo studio mix)
the beatles,help!
johnny cash,i walk the line
led zeppelin,stairway to heaven
the rolling stones,sympathy for the devil (original studio mix)
ike & tina turner,river deep—mountain high
the righteous brothers,you've lost that lovin' feelin' (single version)
the doors,light my fire (original stereo studio mix)
u2,one
bob marley & the wailers,no woman no cry
the rolling stones,gimme shelter (original studio mix)
buddy holly,that'll be the day
martha and the vandellas,dancing in the street (single version)
the band,the weight
the kinks,"waterloo sunset (mono mix, album version)"
little richard,tutti frutti
ray charles,georgia on my mind
elvis presley,heartbreak hotel
david bowie,“heroes”
simon & garfunkel,bridge over troubled water (original stereo mix)
the jimi hendrix experience,all along the watchtower
eagles,hotel california
smokey robinson & the miracles,the tracks of my tears (mono single version)
grandmaster flash & the furious five feat. melle mel & duke bootee,the message (original version)
prince,when doves cry (single edit)
sex pistols,anarchy in the uk
percy sledge,when a man loves a woman (stereo)
the kingsmen,louie louie
little richard,long tall sally
procol harum,a whiter shade of pale (mono)
michael jackson,billie jean (album / single version)
bob dylan,the times they are a-changin'
al green,let's stay together
jerry lee lewis,whole lotta shakin' going on
bo diddley,bo diddley (single version)
buffalo springfield,for what it’s worth
the beatles,she loves you
cream,sunshine of your love (original stereo studio mix)
bob marley & the wailers,redemption song
elvis presley,jailhouse rock
bob dylan,tangled up in blue
roy orbison,crying (stereo)
dionne warwick,walk on by
the beach boys,california girls (stereo)
james brown,papa’s got a brand new bag (part 1)
eddie cochran,summertime blues
stevie wonder,superstition (album version)
led zeppelin,whole lotta love (original studio mix)
elvis presley,mystery train
james brown,i got you (i feel good)
the byrds,mr. tambourine man
marvin gaye,i heard it through the grapevine
fats domino,"blueberry hill (imperial, edited)"
the kinks,you really got me (mono mix)
the beatles,norwegian wood (this bird has flown) (original mono studio mix)
the police,every breath you take
patsy cline,crazy
bruce springsteen,thunder road (version 7)
johnny cash,ring of fire
the temptations,my girl
the mamas & the papas,california dreamin’ (single version)
the five satins,in the still of the night
elvis presley,suspicious minds
ramones,blitzkrieg bop
u2,i still haven’t found what i’m looking for
little richard,"good golly miss molly (live, 1967-01-25: cbs studio, hollywood, usa; stereo)"
carl perkins,blue suede shoes
jerry lee lewis,great balls of fire (master)
chuck berry,"roll over, beethoven"
al green,love and happiness
creedence clearwater revival,fortunate son
the rolling stones,you can't always get what you want
the jimi hendrix experience,voodoo child (slight return)
gene vincent,be-bop-a-lula
donna summer,hot stuff
stevie wonder,living for the city
simon & garfunkel,the boxer (original stereo mix)
bob dylan,mr. tambourine man (officially released studio recording)
the crickets,not fade away
prince,little red corvette
van morrison,brown eyed girl (original stereo mix)
otis redding,i’ve been loving you too long
hank williams,i’m so lonesome i could cry
elvis presley,that’s all right
the drifters,up on the roof
the crystals,da doo ron ron
sam cooke,you send me
the rolling stones,honky tonk woman
al green,take me to the river
the isley brothers,"shout, parts 1 & 2 (full uncut version)"
fleetwood mac,go your own way
the jackson 5,i want you back
ben e. king,stand by me
the animals,the house of the rising sun (original uk single version)
james brown,it’s a man’s man’s man’s world
the rolling stones,jumpin’ jack flash (mono version)
the shirelles,will you love me tomorrow (mono)
big joe turner,"shake, rattle and roll"
david bowie & the spiders from mars,changes
chuck berry,rock & roll music
steppenwolf,born to be wild
rod stewart,maggie may (edit version)
u2,with or without you
bo diddley,who do you love?
the who,won’t get fooled again (full length version) (1996 remix)
wilson pickett,in the midnight hour
the beatles,while my guitar gently weeps (original stereo studio mix)
elton john,your song
the beatles,eleanor rigby (original mono studio mix)
sly & the family stone,family affair
the beatles,i saw her standing there
led zeppelin,kashmir
the everly brothers,all i have to do is dream (mono)
james brown & the famous flames,"please, please, please"
prince and the revolution,"purple rain (live, 1983-08-03: minnesota dance theatre, first avenue nightclub, minneapolis, mn, usa, with overdubs)"
ramones,i wanna be sedated
sly & the family stone,everyday people
the b‐52’s,rock lobster
iggy pop,lust for life
janis joplin,me and bobby mcgee
the everly brothers,cathy’s clown (mono)
the byrds,eight miles high
the penguins,earth angel
the jimi hendrix experience,foxy lady (original stereo studio mix)
the beatles,a hard day’s night
buddy holly,rave on
creedence clearwater revival,proud mary
simon & garfunkel,the sound of silence (overdubbed remix 1965)
the flamingos,i only have eyes for you
bill haley & his comets,rock around the clock
the velvet underground,i'm waiting for the man
public enemy,bring the noise
ray charles,i can’t stop loving you (stereo)
sinéad o’connor,nothing compares 2 u
queen,bohemian rhapsody
johnny cash,"folsom prison blues (live, 1968-01-13: folsom prison, folsom, ca, usa)"
tracy chapman,fast car
eminem,lose yourself
marvin gaye,let’s get it on (album version)
the temptations,papa was a rollin’ stone
r.e.m.,losing my religion (live)
joni mitchell,both sides now
abba,"dancing queen (single/lp/12"" version)"
aerosmith,dream on
sex pistols,god save the queen
the rolling stones,paint it black (original single mono version)
the bobby fuller four,i fought the law
the beach boys,don’t worry baby
tom petty,free fallin’
big star,september gurls
joy division,love will tear us apart (1979-11-26: peel sessions)
outkast,hey ya! (explicit)
booker t. & the mg’s,green onions
the drifters,save the last dance for me
b.b. king,the thrill is gone
the beatles,please please me
bob dylan,desolation row
aretha franklin,i never loved a man (the way i love you)
ac/dc,back in black
creedence clearwater revival,who’ll stop the rain
bee gees,stayin’ alive
bob dylan,knockin’ on heaven’s door
lynyrd skynyrd,free bird
glen campbell,wichita lineman
the drifters,there goes my baby
