title,artist
save your tears,the weeknd & ariana grande
leave the door open,silk sonic (bruno mars & anderson .paak)
peaches,justin bieber featuring daniel caesar & giveon
rapstar,polo g
levitating,dua lipa featuring dababy
kiss me more,doja cat featuring sza
montero (call me by your name),lil nas x
astronaut in the ocean,masked wolf
up,cardi b
drivers license,olivia rodrigo
blinding lights,the weeknd
deja vu,olivia rodrigo
beat box,spotemgottem featuring pooh shiesty or dababy
calling my phone,lil tjay featuring 6lack
on me,lil baby
best friend,saweetie featuring doja cat
heartbreak anniversary,giveon
beautiful mistakes,maroon 5 featuring megan thee stallion
what you know bout love,pop smoke
mood,24kgoldn featuring iann dior
my ex's best friend,machine gun kelly x blackbear
back in blood,pooh shiesty featuring lil durk
without you,the kid laroi
the good ones,gabby barrett
go crazy,chris brown & young thug
you broke me first.,tate mcrae
34+35,ariana grande
hell of a view,eric church
forever after all,luke combs
what's next,drake
time today,moneybagg yo
therefore i am,billie eilish
dakiti,bad bunny & jhay cortez
positions,ariana grande
shottas (lala),moneybagg yo
solid,young thug & gunna featuring drake
track star,mooski
ski,young thug & gunna
wants and needs,drake featuring lil baby
you're mines still,yung bleu featuring drake
we're good,dua lipa
heat waves,glass animals
made for you,jake owen
good days,sza
for the night,pop smoke featuring lil baby & dababy
breaking up was easy in the 90's,sam hunt
no more parties,coi leray featuring lil durk
goosebumps,travis scott & hvme
telepatia,kali uchis
tombstone,rod wave
streets,doja cat
go!,moneybagg yo featuring big30
hard for the next,moneybagg yo & future
if pain was a person,moneybagg yo
what's your country song,thomas rhett
just the way,parmalee x blanco brown
hold on,justin bieber
settling down,miranda lambert
wockesha,moneybagg yo
botella tras botella,gera mx + christian nodal
willow,taylor swift
damage,h.e.r.
street runner,rod wave
come through,h.e.r. featuring chris brown
somebody like that,tenille arts
pov,ariana grande
lil bit,nelly & florida georgia line
gone,dierks bentley
nobody,dylan scott
famous friends,chris young + kane brown
quicksand,morray
lady,brett young
the business,tiesto
la noche de anoche,bad bunny & rosalia
one too many,keith urban duet with p!nk
richer,rod wave featuring polo g
almost maybes,jordan davis
follow you,imagine dragons
glad you exist,dan + shay
free promo,moneybagg yo featuring polo g & lil durk
pick up your feelings,jazmine sullivan
just say det,moneybagg yo
big gangsta,kevin gates
down to one,luke bryan
headshot,"lil tjay, polo g & fivio foreign"
hellcats & trackhawks,lil durk
anyone,justin bieber
my head and my heart,ava max
how they remember you,rascal flatts
arcade,duncan laurence
drunk (and i don't wanna go home),elle king & miranda lambert
masterpiece,dababy
long live,florida georgia line
chasing after you,ryan hurd with maren morris
drankin n smokin,future & lil uzi vert
4 da gang,42 dugg & roddy ricch
blame it on you,jason aldean
wasted on you,morgan wallen
way less sad,ajr
clear da air,moneybagg yo
