,artist,title,tid,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,waka flocka flame,no hands (feat. roscoe dash & wale),03tqyYWC9Um2ZqU0ZN849H,0.76,0.595,1,-6.366,1,0.0391,0.00544,0,0.241,0.361,131.497
1,trick daddy,take it to da house,1wLhwzPAtze5JT8qqXlqaO,0.935,0.78,6,-5.795,0,0.197,0.0158,0,0.164,0.918,123.895
2,dmx,ruff ryders' anthem,1BKT2I9x4RGKaKqW4up34s,0.88,0.577,10,-8.093,0,0.302,0.0564,1.02e-06,0.201,0.74,90.991
3,ugk,int'l players anthem (i choose you) (feat. outkast),4ns1XFP3W5JPyzvnAjMdHD,0.675,0.68,4,-5.01,0,0.256,0.0655,0,0.354,0.845,155.698
4,lil jon & the east side boyz,what u gon' do,1bTphHXspys3RvvRxfzzIc,0.838,0.724,1,-6.9,0,0.242,7.68e-05,1.02e-06,0.162,0.537,150.192
5,young money,steady mobbin,3cSuhzV7wKX5diQ8hos78P,0.488,0.691,0,-8.09,0,0.279,0.0219,0,0.501,0.697,156.141
6,drake,best i ever had,1GxHeBvQ9935Dd3cSfsfBa,0.431,0.894,5,-2.673,0,0.33,0.0951,0,0.188,0.605,162.161
7,jeezy,soul survivor,0Ss50OU9tCozI7JIywkv14,0.682,0.483,10,-7.718,1,0.0451,0.00103,0,0.159,0.108,84.012
8,styles p,good times,7cFpB4ozcSwXuhqjvNbrbP,0.697,0.761,11,-7.647,0,0.302,0.157,0,0.789,0.666,81.728
9,mike jones,still tippin' (feat. slim thug and paul wall),59rtiYOPgMEDf3yPEfU2la,0.86,0.861,6,-7.131,0,0.307,0.0361,4.07e-05,0.113,0.79,143.184
10,t-pain,buy u a drank (shawty snappin') (feat. yung joc),2aIdVb8v9KTpEZnftkz2mD,0.451,0.55,1,-8.137,1,0.262,0.0108,0,0.0737,0.594,80.001
11,lil jon & the east side boyz,lovers and friends,41PWz0hAiU9FqsmjR9Wh62,0.675,0.501,10,-6.183,1,0.22,0.0541,0,0.429,0.532,139.861
12,50 cent,21 questions,41bIQPBE1lFN0mmw6Lmssz,0.576,0.807,6,-3.908,0,0.317,0.353,0.000363,0.0512,0.908,90.012
13,kanye west,all falls down,2cYZpcIV39X48RnOFM7w2V,0.643,0.717,8,-4.876,0,0.506,0.184,0,0.152,0.46,90.893
14,lil jon & the east side boyz,get low,0r2Bul2NuCViraT2zX1l5j,0.521,0.625,1,-7.47,1,0.067,0.0301,0,0.121,0.136,101.019
15,waka flocka flame,grove st. party (feat. kebo gotti),2e9EZ2V5QGGZPMJacO3y0Y,0.705,0.702,0,-4.783,0,0.108,0.138,0,0.364,0.771,140.059
16,lil wayne,a milli,6ScJMrlpiLfZUGtWp4QIVt,0.674,0.695,6,-8.636,0,0.278,0.0387,0.00202,0.194,0.773,151.486
17,three 6 mafia,"stay fly (feat. young buck, eightball & mjg)",5MYFw4T2gy52pOGBN4EYHS,0.789,0.881,11,-5.758,1,0.0331,0.109,0,0.355,0.647,133.299
18,g-unit,smile,2hzKxuc2LwqMnkoVRMkV0B,0.779,0.51,8,-3.629,0,0.252,0.262,0,0.0865,0.591,90.025
19,jeezy,put on,5dANgSy7v091dhiPnEXNrf,0.654,0.77,9,-6.091,0,0.0353,0.00342,0,0.0887,0.272,137.616
20,50 cent,disco inferno,69bHJ9qs5FrUJbKP8xU8uZ,0.925,0.659,3,-4.763,1,0.231,0.206,7.88e-05,0.279,0.71,97.018
21,plies,hypnotized (feat. akon),3LN41NUdHkyNqQhi9gExMm,0.84,0.571,10,-7.421,1,0.0797,0.16,0,0.406,0.617,116.59
22,dmx,how's it goin' down,5hOrYYtUd96bIOBjuSEArP,0.912,0.596,6,-9.959,1,0.451,0.482,0.000369,0.107,0.816,90.463
23,2pac,ambitionz az a ridah,3ssX20QT5c3nA9wk78V1LQ,0.801,0.908,2,-6.554,1,0.221,0.00253,0.000655,0.0698,0.805,87.279
24,lil wayne,let the beat build,0bdabO15YOj0iZPg2OujAw,0.493,0.527,8,-8.128,1,0.246,0.144,3.35e-06,0.38,0.887,154.055
25,lil' troy,wanna be a baller,6lEIjrQNwJPecJ7mMXjhjo,0.871,0.648,10,-7.825,0,0.278,0.266,0,0.2,0.629,92.296
26,lloyd banks,karma,25YwwruYRtxe6RQdKtrZFS,0.605,0.829,10,-2.377,0,0.444,0.0392,0,0.196,0.708,176.103
27,gucci mane,lemonade,0hmQY8NW6hNQWfkvZsa1e9,0.741,0.658,7,-7.758,1,0.0853,0.643,3.43e-06,0.307,0.746,142.057
28,50 cent,just a lil bit,68IM0wOuxlrbwk0zgmi9dk,0.724,0.692,1,-6.75,1,0.324,0.0397,0.00477,0.314,0.532,96.937
29,twista,overnight celebrity,2tOZtdbkAMQASWokLvSlzj,0.828,0.792,10,-5.435,0,0.179,0.182,0,0.281,0.777,134.199
30,"birdman, lil wayne",stuntin' like my daddy - street,3rMyMv8EjKXoPnaRo2hdJN,0.71,0.881,5,-6.648,0,0.0398,0.00908,0,0.162,0.809,160.011
31,various artists,"i need a girl (pt. 2) [feat. loon, ginuwine & mario winans]",6Wt5QBzHp9vdSLAFlvdnDQ,0.713,0.471,1,-7.392,0,0.483,0.421,0,0.0308,0.781,199.765
32,memphis bleek,dear summer,5VkuqayHiiU5ZHyYEH4Oeb,0.548,0.893,6,-4.403,0,0.602,0.0838,0,0.0842,0.667,172.241
33,drake,over,6BdgtqiV3oXNqBikezwdvC,0.35,0.845,7,-5.614,1,0.2,0.0107,0,0.123,0.45,99.643
34,the game,wouldn't get far,39yRhjDdSTP4A7VehxBXDb,0.434,0.764,4,-5.367,0,0.276,0.152,0,0.425,0.702,92.605
35,akon,locked up,0YUrjFy4qFKOO5NhM9tYdV,0.828,0.58,7,-4.395,1,0.0941,0.0255,0,0.103,0.407,89.973
36,mike jones,back then,5krOROgmf8adn3SJzeKLZy,0.776,0.736,9,-6.308,1,0.255,0.0101,0,0.18,0.536,159.838
37,t-pain,i'm sprung,0F7rEdewJ6cSLylOZZpDu7,0.722,0.329,0,-11.617,0,0.108,0.088,0,0.081,0.166,99.991
38,dmx,what these bitches want,57kdeoYzgGaKzRWj4XM1u8,0.672,0.837,1,-5.947,1,0.315,0.106,0,0.194,0.703,167.289
39,lil' flip,sunshine (feat. lea),4s0o8TJHfX9LLHa0umnOzT,0.814,0.387,0,-9.867,1,0.0945,0.0248,0,0.131,0.792,93.961
40,outkast,"so fresh, so clean",6glsMWIMIxQ4BedzLqGVi4,0.725,0.64,5,-7.905,0,0.332,0.0281,0,0.099,0.915,166.028
41,big tymers,still fly,563vSy3HB5NHxel1VGQCW6,0.675,0.607,11,-3.538,1,0.162,0.0302,8.97e-06,0.339,0.56,177.928
42,dr. dre,fuck wit dre day (and everybody's celebratin'),04fX3oTJm5Zucg3Uf9aix0,0.75,0.706,7,-7.461,1,0.156,0.088,0,0.535,0.59,93.603
43,snoop dogg,"ain't no fun (if the homies cant have none) (feat. nate dogg, warren g & kurupt)",3bA5Xfk5JyPGtBh00GX8Gk,0.84,0.798,8,-5.079,1,0.0699,0.045,4.32e-05,0.172,0.695,100.175
44,various artists,some cut (feat. cutty),71mDjdeVK9sqXmamMHaAfX,0.901,0.512,1,-6.468,1,0.37,0.00273,0,0.0979,0.638,85.012
45,kanye west,good life,1fLdeDTrJWNkwOeFyAVLvF,0.435,0.802,1,-6.871,1,0.324,0.00376,0,0.467,0.454,84.267
46,kardinal offishall,dangerous,4JFM7KpVxgPXargA4rzB60,0.949,0.79,8,-5.957,1,0.0756,0.00437,0,0.0816,0.807,117.002
47,the game,how we do,4PmMVdIFpJTB9WQbmILf4p,0.862,0.648,4,-7.401,0,0.251,0.0455,0,0.0332,0.637,98.012
48,dorrough music,ice cream paint job,3lwMGZ9M5Gq4usaZZLV4NK,0.849,0.59,0,-8.367,1,0.428,0.000545,0,0.343,0.656,180.026
49,t.i.,whatever you like,1IAzD1muglOxOcPbUHs70R,0.68,0.687,9,-6.162,0,0.0709,0.0161,0,0.261,0.467,150.053
50,gorilla zoe,hood nigga,323Tzd2yjV4pifrVAajafb,0.875,0.732,1,-5.135,1,0.0635,0.0198,0,0.11,0.159,87.142
51,nelly,air force ones,7kAFSrTIOiVZ0gnHBuAH3l,0.784,0.459,4,-9.74,0,0.317,0.0847,0,0.079,0.618,164.062
52,dr. dre,bitches ain't shit,0JSCZdPOPR7d8Mfi09tIxU,0.567,0.678,7,-8.442,1,0.209,0.0192,1.61e-06,0.113,0.777,90.862
53,crime mob,knuck if you buck (feat. lil' scrappy),0RZXNlGPvfMo54fd6uCvAT,0.865,0.844,8,-4.946,1,0.311,0.0582,0,0.373,0.755,150.09
